0	224	250	130	175	165	279	261	139	103	251	56.1	192	67.1	47.5	106	282	248	176	159	264	246	136	194	312	227
224	0	103	114	197	150	55.9	101	223	193	27.5	201	73.8	242	229	220	137	110	345	95.2	41.1	141	268	63.2	237	150
250	103	0	141	224	177	63.1	204	250	220	130	228	89	269	256	247	240	60.2	372	102	144	294	295	40.5	361	275
130	114	141	0	81.2	45.9	169	167	107	76.6	141	84.9	82.1	126	113	104	188	138	229	49.3	154	151	153	84.5	218	133
175	197	224	81.2	0	76.1	254	90.4	31.0	62.9	225	95.9	121	203	190	56.2	112	222	306	134	149	75.1	116	169	142	56.3
165	150	177	45.9	76.1	0	201	101	105	104	172	112	46.6	174	161	98.9	186	169	277	80.8	146	149	180	116	216	130
279	55.9	63.1	169	254	201	0	131	278	248	27.7	256	129	297	284	275	168	166	400	150	71.5 	171	324	118	267	181
261	101	204	167	90.4	101	131	0	105	149	125	182	97.0	289	276	131	64.4	210	393	163	59.8	321	190	163	137	50.3
139	223	250	107	31	105	278	105	0	65.3	252	82.9	147	222	209	41.1	127	249	332	160	164	199	101	195	132	71.1
103	193	220	76.6	62.9	104	248	149	65.3	0	221	47	112	151	138	41.4	160	218	254	129	159	123	94.8	164	190	105
251	27.5	130	141	225	172	27.7	125	252	221	0	228	101	269	256	247	162	137	372	122	65.6	165	295	90.0	262	175
56.1	201	228	84.9	95.9	112	256	182	82.9	47	228	0	153	143	130	49.7	194	227	246	138	243	157	79.8	173	199	126
192	73.8	89	82.1	121	46.6	129	97	147	112	101	153	0	210	197	170	158	97.0	313	63.3	114	136	219	49.7	214	127
67.1	242	269	126	203	174	297	289	222	151	269	143	210	0	17.9	181	314	265	132	177	282	58.1 	211	212	344	258
47.5	229	256	113	190	161	284	276	209	138	256	130	197	17.9	0	168	301	252	130	163	269	70.7	198	199	331	245
106	220	247	104	56.2	98.9	275	131	41.1	41.4	247	49.7	170	181	168	0	152	245	283	157	189	164	61.3	192	157	96.3
282	137	240	188	112	186	168	64.4	127	160	162	194	158	314	301	152	0	330	414	242	95.9	341	212	200	132	61.7
248	110	60.2	138	222	169	166	210	249	218	137	227	97	265	252	245	330	0	370	99.9	151	329	293	50.2	359	273
176	345	372	229	306	277	400	393	332	254	372	246	313	132	130	283	414	370	0	279	384	123	314	316	446	361
159	95.2	102	49.3	134	80.8	150	163	160	129	122	138	63.3	177	163	157	242	99.9	279	0	136	242	206	65.7	272	186
264	41.1	144	154	149	146	71.5	59.8	164	159	65.6	243	114	282	269	189	95.9	151	384	136	0	345	244	104	196	109
246	141	294	151	75.1	149	171	321	199	123	165	157	136	58.1	70.7	164	341	329	123	242	345	0	196	278	372	287
136	268	295	153	116	180	324	190	101	94.8	295	79.8	219	211	198	61.3	212	293	314	206	244	196	0	248	221	160
194	63.2	40.5	84.5	169	116	118	163	195	164	90	173	49.7	212	199	192	200	50.2	316	65.7	104	278	248	0	305	219
312	237	361	218	142	216	267	137	132	190	262	199	214	344	331	157	132	359	446	272	196	372	221	305	0	76.1
227	150	275	133	56.3	130	181	50.3	71.1	105	175	126	127	258	245	96.3	61.7	273	361	186	109	287	160	219	76.1	0
